dim,method,ladder,ndcg@10,r@10,r@100
32,float32,—,0.48984539301439745,0.6165,0.7965555555555556
32,1-bit,k=1,0.18302648734070723,0.25955555555555554,0.5661666666666666
32,stacked,k=2,0.28092665686232254,0.42566666666666664,0.6878333333333333
32,stacked,k=4,0.3662967937709497,0.5010555555555556,0.7444444444444445
32,stacked,k=8,0.4213521368485952,0.5676111111111111,0.7544444444444445
64,float32,—,0.6401757573471796,0.7724444444444444,0.9065555555555557
64,1-bit,k=1,0.3761252712092827,0.49344444444444446,0.7491111111111112
64,stacked,k=2,0.4716355544783632,0.6212222222222222,0.835
64,stacked,k=4,0.5345172218493173,0.6767777777777778,0.8663333333333333
64,stacked,k=8,0.5745774567525466,0.7292777777777778,0.8875555555555555
128,float32,—,0.7054658857344233,0.8212222222222223,0.9383333333333334
128,1-bit,k=1,0.5235293175541329,0.6525,0.8586666666666667
128,stacked,k=2,0.621134730656073,0.7587777777777779,0.9165555555555557
128,stacked,k=4,0.6526036280470862,0.7729444444444444,0.916
128,stacked,k=8,0.6765473687119387,0.811111111111111,0.9326666666666668
256,float32,—,0.7371202439128096,0.8635555555555555,0.9516666666666667
256,1-bit,k=1,0.62669803844349,0.7637777777777778,0.921
256,stacked,k=2,0.6855368439675091,0.805,0.95
256,stacked,k=4,0.6993960351651387,0.8233333333333334,0.9516666666666667
256,stacked,k=8,0.7165205727982289,0.8512222222222222,0.9543333333333334
512,float32,—,0.7480461051931596,0.8708888888888888,0.965
512,1-bit,k=1,0.7026576314929932,0.8207777777777777,0.9493333333333334
512,stacked,k=2,0.718393649734199,0.8525555555555556,0.9633333333333334
512,stacked,k=4,0.7356258396601695,0.8708888888888888,0.965
512,stacked,k=8,0.7346037635388964,0.8625555555555555,0.9616666666666667
768,float32,—,0.7579642348894924,0.8792222222222221,0.965
768,1-bit,k=1,0.730177609456308,0.8492222222222222,0.9433333333333334
768,stacked,k=2,0.734145783178566,0.8703333333333334,0.95
768,stacked,k=4,0.7439168696868826,0.8670000000000001,0.9583333333333334
768,stacked,k=8,0.7449270316747383,0.8758888888888888,0.9583333333333334
